Nodes: 800	Edges: 207505
Node: 482	Degree: 527	NeighbourhoodDegree: 273608
Node: 483	Degree: 522	NeighbourhoodDegree: 271006
Node: 484	Degree: 508	NeighbourhoodDegree: 263804
Node: 485	Degree: 542	NeighbourhoodDegree: 281423
Node: 486	Degree: 522	NeighbourhoodDegree: 270888
Node: 487	Degree: 511	NeighbourhoodDegree: 265219
Node: 488	Degree: 512	NeighbourhoodDegree: 265375
Node: 489	Degree: 514	NeighbourhoodDegree: 266817
Node: 490	Degree: 506	NeighbourhoodDegree: 262885
Node: 491	Degree: 502	NeighbourhoodDegree: 260446
Node: 492	Degree: 518	NeighbourhoodDegree: 269009
Node: 493	Degree: 546	NeighbourhoodDegree: 283285
Node: 494	Degree: 537	NeighbourhoodDegree: 278526
Node: 495	Degree: 502	NeighbourhoodDegree: 260426
Node: 496	Degree: 560	NeighbourhoodDegree: 290486
Node: 497	Degree: 515	NeighbourhoodDegree: 267512
Node: 498	Degree: 513	NeighbourhoodDegree: 266217
Node: 499	Degree: 533	NeighbourhoodDegree: 276836
Node: 500	Degree: 504	NeighbourhoodDegree: 261598
Node: 501	Degree: 514	NeighbourhoodDegree: 266664
Node: 502	Degree: 517	NeighbourhoodDegree: 268322
Node: 503	Degree: 514	NeighbourhoodDegree: 266701
Node: 504	Degree: 520	NeighbourhoodDegree: 270106
Node: 505	Degree: 514	NeighbourhoodDegree: 266949
Node: 506	Degree: 499	NeighbourhoodDegree: 258751
Node: 507	Degree: 511	NeighbourhoodDegree: 265253
Node: 508	Degree: 538	NeighbourhoodDegree: 279229
Node: 509	Degree: 512	NeighbourhoodDegree: 265852
Node: 510	Degree: 513	NeighbourhoodDegree: 265985
Node: 511	Degree: 508	NeighbourhoodDegree: 263628
Node: 512	Degree: 520	NeighbourhoodDegree: 269892
Node: 513	Degree: 533	NeighbourhoodDegree: 276850
Node: 514	Degree: 522	NeighbourhoodDegree: 271071
Node: 515	Degree: 534	NeighbourhoodDegree: 277172
Node: 516	Degree: 526	NeighbourhoodDegree: 272945
Node: 517	Degree: 518	NeighbourhoodDegree: 268862
Node: 518	Degree: 530	NeighbourhoodDegree: 275376
Node: 519	Degree: 532	NeighbourhoodDegree: 275903
Node: 520	Degree: 542	NeighbourhoodDegree: 281286
Node: 521	Degree: 522	NeighbourhoodDegree: 271169
Node: 522	Degree: 523	NeighbourhoodDegree: 271370
Node: 523	Degree: 520	NeighbourhoodDegree: 269945
Node: 524	Degree: 522	NeighbourhoodDegree: 270753
Node: 525	Degree: 513	NeighbourhoodDegree: 266418
Node: 526	Degree: 495	NeighbourhoodDegree: 257040
Node: 527	Degree: 503	NeighbourhoodDegree: 261100
Node: 528	Degree: 531	NeighbourhoodDegree: 275618
Node: 529	Degree: 532	NeighbourhoodDegree: 276250
Node: 530	Degree: 531	NeighbourhoodDegree: 275956
Node: 531	Degree: 522	NeighbourhoodDegree: 271324
Node: 532	Degree: 518	NeighbourhoodDegree: 269045
Node: 533	Degree: 530	NeighbourhoodDegree: 275128
Node: 534	Degree: 477	NeighbourhoodDegree: 247675
Node: 535	Degree: 508	NeighbourhoodDegree: 263812
Node: 536	Degree: 527	NeighbourhoodDegree: 273567
Node: 537	Degree: 534	NeighbourhoodDegree: 277073
Node: 538	Degree: 531	NeighbourhoodDegree: 275539
Node: 539	Degree: 504	NeighbourhoodDegree: 261782
Node: 540	Degree: 511	NeighbourhoodDegree: 265102
Node: 541	Degree: 506	NeighbourhoodDegree: 262948
Node: 542	Degree: 530	NeighbourhoodDegree: 275182
Node: 543	Degree: 523	NeighbourhoodDegree: 271488
Node: 544	Degree: 498	NeighbourhoodDegree: 258631
Node: 545	Degree: 521	NeighbourhoodDegree: 270290
Node: 546	Degree: 499	NeighbourhoodDegree: 258821
Node: 547	Degree: 502	NeighbourhoodDegree: 260608
Node: 548	Degree: 530	NeighbourhoodDegree: 274723
Node: 549	Degree: 506	NeighbourhoodDegree: 262842
Node: 550	Degree: 511	NeighbourhoodDegree: 265158
Node: 551	Degree: 518	NeighbourhoodDegree: 269085
Node: 552	Degree: 526	NeighbourhoodDegree: 272950
Node: 553	Degree: 495	NeighbourhoodDegree: 256768
Node: 554	Degree: 538	NeighbourhoodDegree: 279284
Node: 555	Degree: 529	NeighbourhoodDegree: 274507
Node: 556	Degree: 531	NeighbourhoodDegree: 276065
Node: 557	Degree: 515	NeighbourhoodDegree: 267211
Node: 558	Degree: 519	NeighbourhoodDegree: 269504
Node: 559	Degree: 534	NeighbourhoodDegree: 277024
Node: 560	Degree: 525	NeighbourhoodDegree: 272701
Node: 561	Degree: 523	NeighbourhoodDegree: 271487
Node: 562	Degree: 508	NeighbourhoodDegree: 263652
Node: 563	Degree: 515	NeighbourhoodDegree: 267164
Node: 564	Degree: 539	NeighbourhoodDegree: 279505
Node: 565	Degree: 513	NeighbourhoodDegree: 266462
Node: 566	Degree: 515	NeighbourhoodDegree: 267374
Node: 567	Degree: 526	NeighbourhoodDegree: 273129
Node: 568	Degree: 512	NeighbourhoodDegree: 265921
Node: 569	Degree: 512	NeighbourhoodDegree: 265807
Node: 570	Degree: 521	NeighbourhoodDegree: 270446
Node: 571	Degree: 536	NeighbourhoodDegree: 278417
Node: 572	Degree: 533	NeighbourhoodDegree: 276573
Node: 573	Degree: 542	NeighbourhoodDegree: 281631
Node: 574	Degree: 524	NeighbourhoodDegree: 271988
Node: 575	Degree: 504	NeighbourhoodDegree: 261947
Node: 576	Degree: 519	NeighbourhoodDegree: 269430
Node: 577	Degree: 538	NeighbourhoodDegree: 279301
Node: 578	Degree: 504	NeighbourhoodDegree: 261674
Node: 579	Degree: 530	NeighbourhoodDegree: 275327
Node: 580	Degree: 510	NeighbourhoodDegree: 264595
Node: 581	Degree: 533	NeighbourhoodDegree: 276577
Node: 582	Degree: 527	NeighbourhoodDegree: 273575
Node: 583	Degree: 511	NeighbourhoodDegree: 265376
Node: 584	Degree: 519	NeighbourhoodDegree: 269399
Node: 585	Degree: 486	NeighbourhoodDegree: 252091
Node: 586	Degree: 527	NeighbourhoodDegree: 273469
Node: 587	Degree: 534	NeighbourhoodDegree: 277079
Node: 588	Degree: 532	NeighbourhoodDegree: 276308
Node: 589	Degree: 495	NeighbourhoodDegree: 256777
Node: 590	Degree: 514	NeighbourhoodDegree: 266661
Node: 591	Degree: 539	NeighbourhoodDegree: 279915
Node: 592	Degree: 518	NeighbourhoodDegree: 268732
Node: 593	Degree: 528	NeighbourhoodDegree: 274164
Node: 594	Degree: 504	NeighbourhoodDegree: 261540
Node: 595	Degree: 513	NeighbourhoodDegree: 266269
Node: 596	Degree: 509	NeighbourhoodDegree: 264517
Node: 597	Degree: 527	NeighbourhoodDegree: 273451
Node: 598	Degree: 508	NeighbourhoodDegree: 263855
Node: 599	Degree: 521	NeighbourhoodDegree: 270738
Node: 600	Degree: 518	NeighbourhoodDegree: 268497
Node: 601	Degree: 538	NeighbourhoodDegree: 279404
Node: 602	Degree: 511	NeighbourhoodDegree: 265172
Node: 603	Degree: 503	NeighbourhoodDegree: 261079
Node: 604	Degree: 512	NeighbourhoodDegree: 265601
Node: 605	Degree: 512	NeighbourhoodDegree: 265983
Node: 606	Degree: 534	NeighbourhoodDegree: 277127
Node: 607	Degree: 497	NeighbourhoodDegree: 258117
Node: 608	Degree: 520	NeighbourhoodDegree: 269918
Node: 609	Degree: 529	NeighbourhoodDegree: 274622
Node: 610	Degree: 500	NeighbourhoodDegree: 259260
Node: 611	Degree: 521	NeighbourhoodDegree: 270150
Node: 612	Degree: 517	NeighbourhoodDegree: 268377
Node: 613	Degree: 514	NeighbourhoodDegree: 266793
Node: 614	Degree: 508	NeighbourhoodDegree: 263947
Node: 615	Degree: 524	NeighbourhoodDegree: 272013
Node: 616	Degree: 515	NeighbourhoodDegree: 267369
Node: 617	Degree: 491	NeighbourhoodDegree: 254995
Node: 618	Degree: 513	NeighbourhoodDegree: 266326
Node: 619	Degree: 534	NeighbourhoodDegree: 277300
Node: 620	Degree: 510	NeighbourhoodDegree: 264825
Node: 621	Degree: 499	NeighbourhoodDegree: 259258
Node: 622	Degree: 514	NeighbourhoodDegree: 266880
Node: 623	Degree: 524	NeighbourhoodDegree: 271967
Node: 624	Degree: 532	NeighbourhoodDegree: 275954
Node: 625	Degree: 539	NeighbourhoodDegree: 280136
Node: 626	Degree: 533	NeighbourhoodDegree: 276614
Node: 627	Degree: 505	NeighbourhoodDegree: 262016
Node: 628	Degree: 530	NeighbourhoodDegree: 275489
Node: 629	Degree: 520	NeighbourhoodDegree: 269825
Node: 630	Degree: 503	NeighbourhoodDegree: 261274
Node: 631	Degree: 506	NeighbourhoodDegree: 262772
Node: 632	Degree: 511	NeighbourhoodDegree: 265407
Node: 633	Degree: 527	NeighbourhoodDegree: 273707
Node: 634	Degree: 521	NeighbourhoodDegree: 270382
Node: 635	Degree: 512	NeighbourhoodDegree: 265692
Node: 636	Degree: 534	NeighbourhoodDegree: 277290
Node: 637	Degree: 510	NeighbourhoodDegree: 264990
Node: 638	Degree: 503	NeighbourhoodDegree: 261211
Node: 639	Degree: 521	NeighbourhoodDegree: 270408
Node: 640	Degree: 499	NeighbourhoodDegree: 258967
Node: 641	Degree: 515	NeighbourhoodDegree: 267604
Node: 642	Degree: 527	NeighbourhoodDegree: 273260
Node: 643	Degree: 515	NeighbourhoodDegree: 267103
Node: 644	Degree: 522	NeighbourhoodDegree: 271033
Node: 645	Degree: 498	NeighbourhoodDegree: 258620
Node: 646	Degree: 539	NeighbourhoodDegree: 279588
Node: 647	Degree: 529	NeighbourhoodDegree: 274632
Node: 648	Degree: 516	NeighbourhoodDegree: 267859
Node: 649	Degree: 544	NeighbourhoodDegree: 282388
Node: 650	Degree: 542	NeighbourhoodDegree: 281429
Node: 651	Degree: 526	NeighbourhoodDegree: 272759
Node: 652	Degree: 523	NeighbourhoodDegree: 271537
Node: 653	Degree: 506	NeighbourhoodDegree: 262799
Node: 654	Degree: 534	NeighbourhoodDegree: 277469
Node: 655	Degree: 507	NeighbourhoodDegree: 263124
Node: 656	Degree: 519	NeighbourhoodDegree: 269281
Node: 657	Degree: 536	NeighbourhoodDegree: 278466
Node: 658	Degree: 502	NeighbourhoodDegree: 260468
Node: 659	Degree: 507	NeighbourhoodDegree: 263037
Node: 660	Degree: 522	NeighbourhoodDegree: 270929
Node: 661	Degree: 526	NeighbourhoodDegree: 273030
Node: 662	Degree: 521	NeighbourhoodDegree: 270744
Node: 663	Degree: 503	NeighbourhoodDegree: 260879
Node: 664	Degree: 511	NeighbourhoodDegree: 265607
Node: 665	Degree: 546	NeighbourhoodDegree: 283589
Node: 666	Degree: 512	NeighbourhoodDegree: 265872
Node: 667	Degree: 504	NeighbourhoodDegree: 261431
Node: 668	Degree: 510	NeighbourhoodDegree: 264627
Node: 669	Degree: 505	NeighbourhoodDegree: 261819
Node: 670	Degree: 497	NeighbourhoodDegree: 258217
Node: 671	Degree: 522	NeighbourhoodDegree: 270666
Node: 672	Degree: 513	NeighbourhoodDegree: 266097
Node: 673	Degree: 534	NeighbourhoodDegree: 277282
Node: 674	Degree: 517	NeighbourhoodDegree: 268498
Node: 675	Degree: 496	NeighbourhoodDegree: 257551
Node: 676	Degree: 522	NeighbourhoodDegree: 270752
Node: 677	Degree: 502	NeighbourhoodDegree: 260804
Node: 678	Degree: 497	NeighbourhoodDegree: 257971
Node: 679	Degree: 523	NeighbourhoodDegree: 271387
Node: 680	Degree: 510	NeighbourhoodDegree: 264578
Node: 681	Degree: 521	NeighbourhoodDegree: 270479
Node: 682	Degree: 521	NeighbourhoodDegree: 270344
Node: 683	Degree: 509	NeighbourhoodDegree: 263978
Node: 684	Degree: 518	NeighbourhoodDegree: 268858
Node: 685	Degree: 518	NeighbourhoodDegree: 269017
Node: 686	Degree: 517	NeighbourhoodDegree: 268240
Node: 687	Degree: 523	NeighbourhoodDegree: 271564
Node: 688	Degree: 491	NeighbourhoodDegree: 254844
Node: 689	Degree: 545	NeighbourhoodDegree: 283025
Node: 690	Degree: 530	NeighbourhoodDegree: 275003
Node: 691	Degree: 529	NeighbourhoodDegree: 274277
Node: 692	Degree: 517	NeighbourhoodDegree: 268540
Node: 693	Degree: 514	NeighbourhoodDegree: 266660
Node: 694	Degree: 522	NeighbourhoodDegree: 271099
Node: 695	Degree: 522	NeighbourhoodDegree: 270635
Node: 696	Degree: 509	NeighbourhoodDegree: 264147
Node: 697	Degree: 513	NeighbourhoodDegree: 266139
Node: 698	Degree: 508	NeighbourhoodDegree: 263727
Node: 699	Degree: 504	NeighbourhoodDegree: 261504
Node: 700	Degree: 524	NeighbourhoodDegree: 272270
Node: 701	Degree: 523	NeighbourhoodDegree: 271580
Node: 702	Degree: 530	NeighbourhoodDegree: 275226
Node: 703	Degree: 539	NeighbourhoodDegree: 279857
Node: 704	Degree: 525	NeighbourhoodDegree: 272489
Node: 705	Degree: 498	NeighbourhoodDegree: 258551
Node: 706	Degree: 535	NeighbourhoodDegree: 277840
Node: 707	Degree: 534	NeighbourhoodDegree: 277110
Node: 708	Degree: 508	NeighbourhoodDegree: 263669
Node: 709	Degree: 518	NeighbourhoodDegree: 268425
Node: 710	Degree: 542	NeighbourhoodDegree: 281400
Node: 711	Degree: 520	NeighbourhoodDegree: 269863
Node: 712	Degree: 510	NeighbourhoodDegree: 264755
Node: 713	Degree: 535	NeighbourhoodDegree: 278005
Node: 714	Degree: 526	NeighbourhoodDegree: 273076
Node: 715	Degree: 507	NeighbourhoodDegree: 263063
Node: 716	Degree: 506	NeighbourhoodDegree: 262662
Node: 717	Degree: 524	NeighbourhoodDegree: 271791
Node: 718	Degree: 485	NeighbourhoodDegree: 251665
Node: 719	Degree: 504	NeighbourhoodDegree: 261572
Node: 720	Degree: 511	NeighbourhoodDegree: 265253
Node: 721	Degree: 514	NeighbourhoodDegree: 266724
Node: 722	Degree: 510	NeighbourhoodDegree: 264963
Node: 723	Degree: 518	NeighbourhoodDegree: 268892
Node: 724	Degree: 505	NeighbourhoodDegree: 262136
Node: 725	Degree: 524	NeighbourhoodDegree: 272212
Node: 726	Degree: 508	NeighbourhoodDegree: 263782
Node: 727	Degree: 520	NeighbourhoodDegree: 269967
Node: 728	Degree: 516	NeighbourhoodDegree: 267784
Node: 729	Degree: 510	NeighbourhoodDegree: 264658
Node: 730	Degree: 516	NeighbourhoodDegree: 267746
Node: 731	Degree: 525	NeighbourhoodDegree: 272652
Node: 732	Degree: 502	NeighbourhoodDegree: 260644
Node: 733	Degree: 524	NeighbourhoodDegree: 271820
Node: 734	Degree: 522	NeighbourhoodDegree: 270745
Node: 735	Degree: 500	NeighbourhoodDegree: 259708
Node: 736	Degree: 521	NeighbourhoodDegree: 270723
Node: 737	Degree: 527	NeighbourhoodDegree: 273645
Node: 738	Degree: 509	NeighbourhoodDegree: 264366
Node: 739	Degree: 521	NeighbourhoodDegree: 270572
Node: 740	Degree: 508	NeighbourhoodDegree: 263629
Node: 741	Degree: 522	NeighbourhoodDegree: 271086
Node: 742	Degree: 538	NeighbourhoodDegree: 279361
Node: 743	Degree: 512	NeighbourhoodDegree: 265731
Node: 744	Degree: 550	NeighbourhoodDegree: 285291
Node: 745	Degree: 542	NeighbourhoodDegree: 281211
Node: 746	Degree: 518	NeighbourhoodDegree: 269172
Node: 747	Degree: 505	NeighbourhoodDegree: 262157
Node: 748	Degree: 515	NeighbourhoodDegree: 267418
Node: 749	Degree: 534	NeighbourhoodDegree: 277069
Node: 750	Degree: 518	NeighbourhoodDegree: 268634
Node: 751	Degree: 532	NeighbourhoodDegree: 276320
Node: 752	Degree: 514	NeighbourhoodDegree: 266861
Node: 753	Degree: 533	NeighbourhoodDegree: 276735
Node: 754	Degree: 503	NeighbourhoodDegree: 261127
Node: 755	Degree: 518	NeighbourhoodDegree: 268526
Node: 756	Degree: 509	NeighbourhoodDegree: 264525
Node: 757	Degree: 544	NeighbourhoodDegree: 282466
Node: 758	Degree: 531	NeighbourhoodDegree: 275906
Node: 759	Degree: 517	NeighbourhoodDegree: 268103
Node: 760	Degree: 525	NeighbourhoodDegree: 272445
Node: 761	Degree: 524	NeighbourhoodDegree: 271922
Node: 762	Degree: 528	NeighbourhoodDegree: 273923
Node: 763	Degree: 513	NeighbourhoodDegree: 266091
Node: 764	Degree: 513	NeighbourhoodDegree: 266405
Node: 765	Degree: 532	NeighbourhoodDegree: 275884
Node: 766	Degree: 514	NeighbourhoodDegree: 266778
Node: 767	Degree: 538	NeighbourhoodDegree: 279108
Node: 768	Degree: 509	NeighbourhoodDegree: 264251
Node: 769	Degree: 524	NeighbourhoodDegree: 271952
Node: 770	Degree: 509	NeighbourhoodDegree: 264360
Node: 771	Degree: 498	NeighbourhoodDegree: 258454
Node: 772	Degree: 538	NeighbourhoodDegree: 279453
Node: 773	Degree: 523	NeighbourhoodDegree: 271485
Node: 774	Degree: 517	NeighbourhoodDegree: 268086
Node: 775	Degree: 523	NeighbourhoodDegree: 271167
Node: 776	Degree: 504	NeighbourhoodDegree: 261825
Node: 777	Degree: 506	NeighbourhoodDegree: 262633
Node: 778	Degree: 524	NeighbourhoodDegree: 272004
Node: 779	Degree: 542	NeighbourhoodDegree: 281430
Node: 780	Degree: 517	NeighbourhoodDegree: 268173
Node: 781	Degree: 528	NeighbourhoodDegree: 274212
Node: 782	Degree: 500	NeighbourhoodDegree: 259275
Node: 783	Degree: 514	NeighbourhoodDegree: 266496
Node: 784	Degree: 549	NeighbourhoodDegree: 285159
Node: 785	Degree: 532	NeighbourhoodDegree: 276089
Node: 786	Degree: 521	NeighbourhoodDegree: 270429
Node: 787	Degree: 507	NeighbourhoodDegree: 263249
Node: 788	Degree: 520	NeighbourhoodDegree: 269998
Node: 789	Degree: 540	NeighbourhoodDegree: 280119
Node: 790	Degree: 509	NeighbourhoodDegree: 264259
Node: 791	Degree: 498	NeighbourhoodDegree: 258879
Node: 792	Degree: 539	NeighbourhoodDegree: 279909
Node: 793	Degree: 517	NeighbourhoodDegree: 268423
Node: 794	Degree: 512	NeighbourhoodDegree: 265809
Node: 795	Degree: 524	NeighbourhoodDegree: 272020
Node: 796	Degree: 533	NeighbourhoodDegree: 276654
Node: 797	Degree: 522	NeighbourhoodDegree: 270981
Node: 798	Degree: 515	NeighbourhoodDegree: 267156
Node: 799	Degree: 499	NeighbourhoodDegree: 259401
Node: 800	Degree: 520	NeighbourhoodDegree: 270145
